iter	Passed	Remaining
399	38918	58377
400	39041	58318
401	39161	58255
402	39288	58201
403	39400	58125
404	39511	58047
405	39616	57961
406	39725	57879
407	39826	57787
408	40021	57830
409	40183	57824
410	40283	57730
411	40374	57622
412	40470	57521
413	40581	57441
414	40681	57345
415	40773	57240
416	40882	57157
417	41091	57213
418	41215	57150
419	41316	57055
420	41429	56977
421	41554	56915
422	41682	56857
423	41787	56767
424	41886	56669
425	41985	56572
426	42079	56467
427	42203	56402
428	42324	56334
429	42431	56246
430	42530	56148
431	42632	56053
432	42726	55949
433	42826	55852
434	42924	55752
435	43015	55644
436	43116	55548
437	43217	55453
438	43313	55350
439	43411	55251
440	43514	55157
441	43616	55062
442	43712	54961
443	43809	54860
444	43911	54765
445	44007	54663
446	44096	54553
447	44195	54455
448	44317	54385
449	44425	54297
450	44536	54213
451	44639	54120
452	44740	54024
453	44839	53925
454	44937	53826
455	45039	53731
456	45139	53634
457	45226	53521
458	45322	53419
459	45427	53327
460	45537	53242
461	45640	53148
462	45739	53050
463	45834	52946
464	46164	53113
465	46281	53035
466	46393	52950
467	46493	52852
468	46592	52752
469	46688	52648
470	46786	52547
471	46881	52443
472	46988	52352
473	47082	52247
474	47174	52139
475	47269	52035
476	47381	51950
477	47483	51854
478	47595	51768
479	47698	51672
480	47794	51570
481	47892	51469
482	48161	51551
483	48263	51454
484	48373	51365
485	48479	51272
486	48587	51181
487	48687	51081
488	48783	50978
489	48879	50874
490	48984	50780
491	49092	50689
492	49196	50593
493	49303	50500
494	49402	50400
495	49502	50300
496	49608	50207
497	49706	50106
498	49803	50002
499	49900	49900
500	50034	49834
501	50178	49778
502	50292	49692
503	50397	49597
504	50517	49516
505	50627	49426
506	50738	49337
507	50860	49258
508	50966	49163
509	51085	49082
510	51199	48995
511	51314	48909
512	51423	48817
513	51538	48730
514	51652	48643
515	51753	48544
516	51851	48441
517	51947	48337
518	52039	48229
519	52136	48125
520	52241	48029
521	52342	47930
522	52441	47829
523	52544	47730
524	52649	47635
525	52749	47534
526	52847	47432
527	52945	47329
528	53036	47221
529	53133	47118
530	53236	47020
531	53335	46919
532	53433	46817
533	53532	46715
534	53629	46612
535	53721	46504
536	53819	46403
537	53920	46303
538	54019	46202
539	54117	46100
540	54212	45995
541	54314	45897
542	54413	45795
543	54514	45695
544	54612	45593
545	54715	45495
546	54808	45389
547	54904	45286
548	55008	45189
549	55111	45091
550	55203	44984
551	55308	44888
552	55407	44787
553	55540	44713
554	55682	44646
555	55779	44543
556	55884	44447
557	55982	44344
558	56078	44241
559	56179	44141
560	56281	44042
561	56385	43944
562	56484	43843
563	56594	43750
564	56697	43652
565	56805	43557
566	56901	43453
567	57007	43357
568	57114	43262
569	57228	43172
570	57323	43067
571	57426	42969
572	57523	42866
573	57635	42774
574	57738	42676
575	57840	42577
576	57945	42480
577	58072	42399
578	58170	42296
579	58268	42194
580	58374	42097
581	58482	42002
582	58662	41959
583	58786	41875
584	58888	41775
585	58983	41671
586	59083	41569
587	59187	41471
588	59322	41394
589	59433	41300
590	59534	41200
591	59646	41107
592	59772	41024
593	59876	40925
594	59978	40825
595	60077	40723
596	60184	40627
597	60288	40528
598	60395	40431
599	60504	40336
600	60627	40250
601	60734	40153
602	60835	40052
603	60940	39954
604	61084	39881
605	61191	39784
606	61300	39689
607	61402	39588
608	61512	39493
609	61639	39408
610	61752	39315
611	61851	39213
612	61955	39113
613	62111	39047
614	62318	39012
615	62502	38962
616	62662	38897
617	62816	38828
618	62942	38741
619	63096	38672
620	63231	38590
621	63350	38498
622	63469	38407
623	63581	38311
624	63714	38228
625	63838	38140
626	63950	38043
627	64163	38007
628	64349	37955
629	64598	37938
630	64752	37866
631	64882	37779
632	65010	37691
633	65158	37614
634	65280	37523
635	65397	37428
636	65513	37333
637	65620	37232
638	65724	37131
639	65836	37032
640	65951	36936
641	66097	36858
642	66218	36765
643	66319	36660
644	66409	36551
645	66500	36441
646	66604	36339
647	66704	36234
648	66799	36127
649	66898	36022
650	66997	35917
651	67095	35811
652	67191	35705
653	67288	35599
654	67383	35492
655	67478	35384
656	67573	35278
657	67669	35171
658	67761	35063
659	67849	34952
660	67940	34844
661	68030	34734
662	68121	34625
663	68210	34516
664	68295	34404
665	68393	34299
666	68496	34196
667	68599	34094
668	68696	33989
669	68809	33891
670	68919	33792
671	69029	33693
672	69149	33598
673	69246	33493
674	69341	33386
675	69437	33280
676	69531	33173
677	69625	33067
678	69727	32963
679	69823	32858
680	69928	32756
681	70018	32648
682	70105	32537
683	70204	32433
684	70291	32324
685	70387	32218
686	70520	32129
687	70641	32034
688	70749	31934
689	70838	31826
690	70927	31717
691	71018	31609
692	71105	31499
693	71194	31391
694	71275	31279
695	71373	31174
696	71467	31068
697	71558	30960
698	71647	30852
699	71743	30747
700	71836	30640
701	71928	30533
702	72031	30431
703	72143	30332
704	72242	30229
705	72343	30126
706	72438	30020
707	72532	29914
708	72632	29810
709	72723	29704
710	72812	29596
711	72900	29487
712	72991	29380
713	73090	29277
714	73181	29170
715	73278	29065
716	73371	28959
717	73466	28854
718	73566	28751
719	73658	28644
720	73747	28537
721	73834	28429
722	73933	28325
723	74059	28232
724	74178	28136
725	74298	28041
726	74523	27984
727	74658	27894
728	74803	27807
729	74895	27701
730	74983	27593
731	75071	27485
732	75159	27377
733	75250	27270
734	75348	27166
735	75449	27063
736	75537	26955
737	75627	26848
738	75721	26743
739	75812	26636
740	75901	26529
741	75992	26423
742	76072	26312
743	76162	26206
744	76255	26100
745	76339	25992
746	76430	25885
747	76518	25778
748	76605	25671
749	76689	25563
750	76775	25455
751	76861	25347
752	76945	25239
753	77070	25144
754	77186	25047
755	77282	24942
